dteday,year,month,weekday,season,weather_description,cnt,registered,casual,temp
2012-11-24,2012,November,Saturday,Winter,Clear,2277,1745,532,0.278333
2012-11-25,2012,November,Sunday,Winter,Clear,2424,2115,309,0.245833
2012-11-26,2012,November,Monday,Winter,Clear,5087,4750,337,0.313333
2012-11-27,2012,November,Tuesday,Winter,Partly Cloudy,3959,3836,123,0.291667
2012-11-28,2012,November,Wednesday,Winter,Clear,5260,5062,198,0.296667
2012-11-29,2012,November,Thursday,Winter,Clear,5323,5080,243,0.28087
2012-11-30,2012,November,Friday,Winter,Clear,5668,5306,362,0.298333
2012-12-01,2012,December,Saturday,Winter,Partly Cloudy,5191,4240,951,0.298333
2012-12-02,2012,December,Sunday,Winter,Partly Cloudy,4649,3757,892,0.3475
2012-12-03,2012,December,Monday,Winter,Clear,6234,5679,555,0.4525
2012-12-04,2012,December,Tuesday,Winter,Clear,6606,6055,551,0.475833
2012-12-05,2012,December,Wednesday,Winter,Clear,5729,5398,331,0.438333
2012-12-06,2012,December,Thursday,Winter,Clear,5375,5035,340,0.255833
2012-12-07,2012,December,Friday,Winter,Partly Cloudy,5008,4659,349,0.320833
2012-12-08,2012,December,Saturday,Winter,Partly Cloudy,5582,4429,1153,0.381667
2012-12-09,2012,December,Sunday,Winter,Partly Cloudy,3228,2787,441,0.384167
2012-12-10,2012,December,Monday,Winter,Partly Cloudy,5170,4841,329,0.435833
2012-12-11,2012,December,Tuesday,Winter,Partly Cloudy,5501,5219,282,0.353333
2012-12-12,2012,December,Wednesday,Winter,Partly Cloudy,5319,5009,310,0.2975
2012-12-13,2012,December,Thursday,Winter,Clear,5532,5107,425,0.295833
2012-12-14,2012,December,Friday,Winter,Clear,5611,5182,429,0.281667
2012-12-15,2012,December,Saturday,Winter,Clear,5047,4280,767,0.324167
2012-12-16,2012,December,Sunday,Winter,Partly Cloudy,3786,3248,538,0.3625
2012-12-17,2012,December,Monday,Winter,Partly Cloudy,4585,4373,212,0.393333
2012-12-18,2012,December,Tuesday,Winter,Clear,5557,5124,433,0.410833
2012-12-19,2012,December,Wednesday,Winter,Clear,5267,4934,333,0.3325
2012-12-20,2012,December,Thursday,Winter,Partly Cloudy,4128,3814,314,0.33
2012-12-21,2012,December,Friday,Spring,Partly Cloudy,3623,3402,221,0.326667
2012-12-22,2012,December,Saturday,Spring,Clear,1749,1544,205,0.265833
2012-12-23,2012,December,Sunday,Spring,Clear,1787,1379,408,0.245833
2012-12-24,2012,December,Monday,Spring,Partly Cloudy,920,746,174,0.231304
2012-12-25,2012,December,Tuesday,Spring,Partly Cloudy,1013,573,440,0.291304
2012-12-26,2012,December,Wednesday,Spring,Light Snow/Rain,441,432,9,0.243333
2012-12-27,2012,December,Thursday,Spring,Partly Cloudy,2114,1867,247,0.254167
2012-12-28,2012,December,Friday,Spring,Partly Cloudy,3095,2451,644,0.253333
2012-12-29,2012,December,Saturday,Spring,Partly Cloudy,1341,1182,159,0.253333
2012-12-30,2012,December,Sunday,Spring,Clear,1796,1432,364,0.255833
2012-12-31,2012,December,Monday,Spring,Partly Cloudy,2729,2290,439,0.215833
